0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
23 [main] INFO kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
23 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
23 [main] INFO kafka.utils.VerifiableProperties  - Property group.id is overridden to nasa.gov.mission.newControl
23 [main] WARN kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
23 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
23 [main] INFO kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to 198.168.1.68:2181
62 [main] INFO kafka.consumer.ZookeeperConsumerConnector  - [nasa.gov.mission.newControl_zion-portable-1509932897954-ed120629], Connecting to zookeeper instance at 198.168.1.68:2181
67 [ZkClient-EventThread-15-198.168.1.68:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:host.name=zion-portable
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.version=1.8.0_131
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=target/mission.control-0.0.1-SNAPSHOT-shaded.jar
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/tmp
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Linux
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=amd64
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.version=4.10.0-37-generic
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanket
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/home/sanket
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/home/sanket/Documents/workspace/Mission.Control/mission.control
70 [main] INFO org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=198.168.1.68:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@517cd4b
78 [main] INFO org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
80 [main-SendThread(198.168.1.68:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server 198.168.1.68/198.168.1.68:2181. Will not attempt to authenticate using SASL (unknown error)
6079 [ZkClient-EventThread-15-198.168.1.68:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Terminate ZkClient event thread.
6191 [main] INFO org.apache.zookeeper.ZooKeeper  - Session: 0x0 closed
6191 [main-EventThread] INFO org.apache.zookeeper.ClientCnxn  - EventThread shut down
