0 [main] INFO kafka.utils.VerifiableProperties  - Verifying properties
20 [main] INFO kafka.utils.VerifiableProperties  - Property auto.offset.reset is overridden to largest
21 [main] WARN kafka.utils.VerifiableProperties  - Property bootstrap.servers is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property destination.topic is not valid
21 [main] INFO kafka.utils.VerifiableProperties  - Property group.id is overridden to space.exploration.mars.rover.curiosity.1540776277573
21 [main] WARN kafka.utils.VerifiableProperties  - Property key.serializer is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property metadata.broker.list is not valid
21 [main] WARN kafka.utils.VerifiableProperties  - Property source.topic is not valid
22 [main] WARN kafka.utils.VerifiableProperties  - Property value.serializer is not valid
22 [main] INFO kafka.utils.VerifiableProperties  - Property zookeeper.connect is overridden to zion-portable:2181
61 [main] INFO kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.rover.curiosity.1540776277573_antares-mainframe-1540776277848-95c3a153], Connecting to zookeeper instance at zion-portable:2181
65 [ZkClient-EventThread-28-zion-portable:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Starting ZkClient event thread.
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:host.name=antares-mainframe
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.version=10.0.2
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.vendor=Oracle Corporation
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.home=/usr/lib/jvm/java-11-openjdk-amd64
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.class.path=target/mission.control-2.0-shaded.jar
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.io.tmpdir=/tmp
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:java.compiler=<NA>
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.name=Linux
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.arch=amd64
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:os.version=4.15.0-36-generic
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.name=sanket
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.home=/home/sanket
68 [main] INFO org.apache.zookeeper.ZooKeeper  - Client environment:user.dir=/home/sanket/Documents/workspace/Mission.Control
69 [main] INFO org.apache.zookeeper.ZooKeeper  - Initiating client connection, connectString=zion-portable:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@791d1f8b
90 [main] INFO org.I0Itec.zkclient.ZkClient  - Waiting for keeper state SyncConnected
109 [main-SendThread(zion-portable.attlocal.net:2181)] INFO org.apache.zookeeper.ClientCnxn  - Opening socket connection to server zion-portable.attlocal.net/192.168.1.69:2181. Will not attempt to authenticate using SASL (unknown error)
6090 [ZkClient-EventThread-28-zion-portable:2181] INFO org.I0Itec.zkclient.ZkEventThread  - Terminate ZkClient event thread.
6211 [main] INFO org.apache.zookeeper.ZooKeeper  - Session: 0x0 closed
6211 [main-EventThread] INFO org.apache.zookeeper.ClientCnxn  - EventThread shut down
